Iteration      Max Err W0     Max Err W1     Max Err b0     Max Err b1     L2 Err W0      L2 Err W1      L2 Err b0      L2 Err b1      
0              8.60752e-10    1.72775e-09    8.81666e-07    1.62932e-07    6.76854e-09    7.97154e-09    8.82839e-07    1.69826e-07    
68             1.74356e-08    3.41433e-08    1.68525e-07    2.51239e-07    3.30376e-08    5.03463e-08    2.32224e-07    1.81136e-07    
136            2.59731e-08    5.78922e-08    2.33172e-07    2.24531e-07    4.61721e-08    7.29724e-08    2.24762e-07    1.58373e-07    
204            3.69943e-08    8.71486e-08    5.2791e-07     1.16653e-07    5.70449e-08    1.02942e-07    2.78807e-07    1.16528e-07    
272            4.4959e-08     1.00389e-07    3.43417e-07    1.00578e-07    6.85198e-08    1.14046e-07    2.61447e-07    1.1021e-07     
340            5.27679e-08    1.07086e-07    3.34362e-07    1.36939e-07    8.04939e-08    1.25555e-07    2.69733e-07    1.22534e-07    
408            5.93699e-08    1.15789e-07    4.23225e-07    1.70524e-07    8.85034e-08    1.31508e-07    3.02103e-07    1.31984e-07    
476            6.7835e-08     1.25591e-07    2.77046e-07    2.4239e-07     9.80317e-08    1.39948e-07    3.31163e-07    1.96142e-07    
544            7.60676e-08    1.37805e-07    3.63782e-07    2.31061e-07    1.08932e-07    1.5667e-07     3.44941e-07    2.04846e-07    
612            8.01249e-08    1.47954e-07    3.98862e-07    1.46993e-07    1.15446e-07    1.62306e-07    4.01174e-07    1.72132e-07    
